OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
101|28|32158|20379|20375|20300|24.03.2024 00:10:00
102|91|90948|55262|55216|54981|
103|52|56549|35088|35065|34932|
104|82|79397|49846|49816|49610|
105|42|61704|36623|36595|36503|
106|59|63257|35078|35059|34925|
107|48|47032|29465|29449|29318|
108|71|70656|44224|44207|44000|
201|126|104517|37990|37974|37770|
202|84|78374|37779|37771|37590|
203|44|34883|19740|19733|19654|
204|63|51704|29505|29492|29375|
205|53|50132|26635|26627|26510|
206|43|37201|19629|19623|19514|
207|104|97109|57392|57366|57110|
301|62|28956|16842|16840|16776|
302|60|47105|27432|27408|27301|
303|32|21275|12081|12078|12018|
304|66|48910|27999|27985|27855|
305|50|36079|20037|20032|19946|
306|70|48662|28191|28180|28018|
307|133|107024|59957|59939|59689|
308|53|35845|20898|20888|20782|
309|111|86659|51850|51792|51486|
401|107|82139|27662|27662|27506|
402|160|89774|42105|42093|41864|
403|165|133757|75693|75651|75337|
404|134|112406|51120|51112|50858|
405|42|41392|18950|18950|18888|
406|88|58003|32782|32768|32626|
407|46|33541|19260|19257|19194|
501|33|25301|14030|14028|13961|
502|77|71303|36632|36619|36471|
503|43|30746|17590|17584|17494|
504|28|26433|15001|14996|14934|
505|94|58660|33252|33241|33075|
506|106|76416|44506|44497|44318|
507|52|46956|24569|24560|24422|
508|59|46086|25449|25432|25298|
509|32|13246|7772|7771|7729|
510|32|27982|16185|16172|16096|
511|156|127505|75856|75839|75538|
601|130|88271|52280|52262|52046|
602|23|12902|7078|7076|7046|
603|65|47914|23677|23664|23547|
604|44|25480|14126|14124|14072|
605|46|17607|9391|9387|9332|
606|97|55864|22001|21998|21903|
607|37|16718|8125|8122|8076|
608|66|29822|10307|10306|10254|
609|151|62112|22089|22086|21945|
610|83|33534|14365|14364|14310|
611|75|53914|30080|30068|29925|
612|35|20531|11240|11238|11187|
613|55|35639|19298|19286|19186|
701|116|59018|30073|30054|29899|
702|87|48152|23149|23142|23008|
703|67|53374|21867|21866|21714|
704|47|25643|11894|11894|11828|
705|30|8792|3983|3983|3962|
706|90|79801|40577|40557|40366|
707|167|132599|70541|70529|70204|
708|62|42870|20101|20095|19961|
709|48|27944|12838|12835|12782|
710|62|39597|18073|18072|17980|
711|52|15572|7706|7706|7673|
712|78|25047|12349|12344|12303|
713|93|60518|27120|27112|26951|
801|32|23397|9768|9766|9696|
802|59|52387|27201|27190|27063|
803|59|62274|30400|30393|30244|
804|22|23127|11392|11391|11348|
805|51|46711|24282|24270|24170|
806|151|100728|44576|44562|44313|
807|131|84777|34378|34370|34234|
808|88|46513|17811|17808|17716|
809|52|17425|8369|8369|8336|
810|85|72196|31686|31674|31501|
811|128|80145|29151|29146|28970|
